"id","station_code","station_location","created_at","updated_at","deleted_at"
70,BIG,"Biloxi - Bus Station, MS","2024-01-14 09:56:05","2024-01-14 09:56:05",
71,BNG,"Bingen-White Salmon, WA","2024-01-14 09:56:05","2024-01-14 09:56:05",
72,BHM,"Birmingham, AL","2024-01-14 09:56:05","2024-01-14 09:56:05",
73,BLK,"Blacksburg - Virginia Tech Bus Stop, VA","2024-01-14 09:56:05","2024-01-14 09:56:05",
74,BNL,"Bloomington-Normal, IL","2024-01-14 09:56:05","2024-01-14 09:56:05",
75,BOI,"Boise, ID","2024-01-14 09:56:05","2024-01-14 09:56:05",
76,BBY,"Boston - Back Bay, MA","2024-01-14 09:56:05","2024-01-14 09:56:05",
77,BON,"Boston - North Station Maine Service, MA ","2024-01-14 09:56:05","2024-01-14 09:56:05",
78,BOS,"Boston - South Station, MA ","2024-01-14 09:56:05","2024-01-14 09:56:05",
79,RTE,"Boston - Route 128 / Westwood, MA","2024-01-14 09:56:05","2024-01-14 09:56:05",
80,BDT,"Bradenton, FL","2024-01-14 09:56:05","2024-01-14 09:56:05",
81,BRA,"Brattleboro, VT","2024-01-14 09:56:05","2024-01-14 09:56:05",
82,BRR,"Brent - Bus Stop, AL","2024-01-14 09:56:05","2024-01-14 09:56:05",
83,BWW,"Brewster, WA","2024-01-14 09:56:05","2024-01-14 09:56:05",
84,BRP,"Bridgeport, CT","2024-01-14 09:56:05","2024-01-14 09:56:05",
85,BRH,"Brookhaven, MS","2024-01-14 09:56:05","2024-01-14 09:56:05",
86,BKO,"Brookings - Bus Stop, OR","2024-01-14 09:56:05","2024-01-14 09:56:05",
87,BRO,"Browning, MT","2024-01-14 09:56:05","2024-01-14 09:56:05",
88,BRK,"Brunswick, ME","2024-01-14 09:56:05","2024-01-14 09:56:05",
89,BYN,"Bryan, OH","2024-01-14 09:56:05","2024-01-14 09:56:05",
90,BRY,"Bryan - Bus Station, TX","2024-01-14 09:56:05","2024-01-14 09:56:05",
91,BUL,"Buellton, CA","2024-01-14 09:56:05","2024-01-14 09:56:05",
92,BUV,"Buena Vista - Bus Stop, CO","2024-01-14 09:56:05","2024-01-14 09:56:05",
93,BFX,"Buffalo - Exchange St., NY","2024-01-14 09:56:05","2024-01-14 09:56:05",
